,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
0,Violets,1.0,113.4458013,1688.5101899999997,Below_30,1477.809692,Yes,202.0427866,Yes,Male,By_16:00,0.902344991,0.323119932,4546.0,1.306757016,30.73183543,,161.2040049,41.67049278,1.143134732,11.454,9898.088192000001,Yes,1993.760682,6.962244916,44.65154737,39.00163798,37.81526709,60.0,Financial,12.0,683.7604397999999,1.0,Public_or_other,Industry_or_other,No,1.0,392.80310110000005
1,Browns,2.0,161.72084119999997,696.0695824000001,Below_30,2969.865888,Yes,88.94229953,Yes,Male,By_16:00,0.087620467,0.131688478,4070.0,74.59638745,25.67228044,278.31705669999997,65.89266332,58.60262043,8.636920021,,7130.880443999999,Maybe,166.73080159999998,6.213654187,12.91242818,56.4683951,53.90694706,60.0,Financial,9.0,793.0178228999999,2.0,Car,Industry_or_other,No,0.0,41.02861602
2,Greens,6.0,524.9471168,50048.85388,30-45,30803.81297,No,789.7969619,Yes,Female,By_16:00,0.38643617799999996,0.332398496,8300.0,492.9936272,5.563676846,3846.209872,789.5173731000001,14.24701146,22.2034598,1.7,58906.8903,Yes,81808.73422,8.248500267999999,286.0222618,85.21506921,174.98237230000004,80.0,Healthcare,10.0,253.10238280000002,1.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,635.0009424
5,Reds,7.0,446.2815699,97772.77928,Below_30,22288.45382,No,768.2167966,No,Male,By_16:00,0.438502575,0.632902758,3609.0,456.5100456999999,39.77741033,7485.5150730000005,291.5709894,60.74148172,21.36609571,8.391,61109.15419,Yes,431976.9028,7.548836072,657.2494982000001,5.157213937,148.7605233,50.0,Other,8.0,183.17189419999997,2.0,Foot_or_bicycle,Public_Sector,No,1.0,583.2656114
6,Turquoises,2.0,639.8434659,97909.83416,45_and_up,45712.13236,No,741.7035477999999,Yes,Female,After_16:00,0.17664097199999998,0.834341777,5301.0,422.62929569999994,87.32303677,5435.904869,71.5573912,13.081735400000001,,4.699,56124.2554,Maybe,210740.3324,6.43730619,459.06462769999996,14.91336147,213.28115530000002,100.0,Education,13.0,157.4377543,2.0,Public_or_other,Student_or_Unemployed,No,1.0,630.8614378
8,Turquoises,10.0,106.80510349999999,15808.025819999999,45_and_up,1313.082826,Yes,720.2623605,Yes,Female,After_16:00,0.564217359,0.308631779,3538.0,445.9194999,11.77974539,5332.083514,269.4903526,13.89794017,21.1168061,6.462000000000001,55850.464479999995,No,197157.7134,1.418581968,444.0244514,84.96332904,35.60170115,90.0,Environment,13.0,92.00712118,1.0,Public_or_other,Services_or_Retail,Yes,0.0,549.0647309
9,Purples,1.0,594.7968186,31509.777710000002,Below_30,39517.5162,No,105.99985290000001,Yes,Male,By_16:00,0.565103076,0.9605965329999999,3646.0,84.6613957,12.23501379,1758.593786,699.7377102,,9.201162736,12.354000000000001,10114.61914,Maybe,25257.822930000002,4.46698725,158.9270994,15.80402963,198.26560619999998,100.0,Education,15.0,715.3930867,2.0,Motorcycle_or_truck,Hightech,No,0.0,27.82377366
10,Greys,10.0,823.0173549,118432.6403,30-45,75546.29096,No,730.0384278,Yes,Female,After_16:00,,0.948055475,8270.0,510.01481169999994,45.70898288,5337.045768,784.7166997,86.53562842,22.58350752,3.73,58621.43943,Maybe,186366.2839,7.045014452,431.70161449999995,61.12134801,274.3391183,30.0,Military,5.0,82.01573871,0.0,Foot_or_bicycle,Industry_or_other,Yes,1.0,455.7098716
11,Browns,9.0,132.0222211,900.1113912999999,30-45,,Yes,154.7013995,Yes,Male,By_16:00,0.183398447,0.612290135,9336.0,,35.35259773,,724.1048906000001,93.74794723,11.46308823,6.664,12442.02176,Maybe,418.3511385,4.426009008,20.45363387,54.11028427,44.00740704,100.0,Education,12.0,742.8141785,3.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,68.7877672
12,Turquoises,9.0,523.7062206999999,66711.8785,Below_30,30658.813810000003,No,655.6722492,Yes,Female,After_16:00,0.6974304109999999,0.07713685599999999,5197.0,391.2343434,10.03254424,4603.993572,793.069866,51.84368261,19.77964467,4.803,50001.25997,Yes,146040.5245,0.519391329,382.1524885,88.31679588,174.56874019999998,60.0,Financial,,163.27894560000001,0.0,Car,Public_Sector,Yes,0.0,530.6921825000001
