,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social,Main_transportation_Car,Main_transportation_Foot_or_bicycle,Main_transportation_Motorcycle_or_truck,Main_transportation_Public_or_other,Occupation_Hightech,Occupation_Industry_or_other,Occupation_Public_Sector,Occupation_Services_or_Retail,Occupation_Student_or_Unemployed
0,10,-1.0,-0.9637298203376526,-0.869741822250441,-1,-0.5735730996406039,1,-1.6834936809123948,1,1,1,0.8049658376195967,-0.3539292178375384,-0.5582857142857143,-2.2378839090461238,-0.38557610457679903,1.8765916319713716,-0.6779240681131802,-0.16659804939895917,-3.6729532108991805,1.6732926533910712,-1.9206645075579876,1,-0.987652844773232,0.39275434447811164,-1.674077404848396,-0.22023618765905018,-0.9649229406518995,-0.7759159698835156,0.46404489291908524,1.6031881607500427,-0.7725875462091892,-1,0.36161773583537066,-0.4238598249813004,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,-0.7777777777777778,-0.8349494993819744,-0.8824888956949707,-1,-0.5517578388263912,1,-2.0706968951918086,1,1,1,-0.8248691911715916,-0.7368655646042487,-0.6942857142857143,-1.8730797425168701,-0.4867899549032032,-1.8831624859647105,-0.868633796645292,0.1721496537234084,-2.2551643361955382,0.7552182240237738,-2.0394292486331245,0,-0.9952059368085986,0.24298844324452973,-1.8108586926557675,0.12920650001574363,-0.8356968000961853,-0.7759159698835156,-0.659291447288499,2.082244983391351,0.0074662289912037555,-1,-0.6480847575222659,-1.9713085180438523,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,2,0.11111111111111116,0.13400664126957865,-0.24859346526222836,0,-0.14479943021506814,-1,0.3287019495224459,1,-1,1,-0.22709620337707626,-0.335368530306005,0.5142857142857142,0.20952123965878242,-0.8890524460627487,-0.5271766552523578,0.5792764905626493,-0.7152379782249829,0.3115610802805104,-1.2772503397056731,0.182725704819826,1,-0.6576911690501857,0.6500874699713046,-0.633878495701517,0.7043169795224173,0.13661373237006041,0.27090137408576487,-0.2848460005526376,-0.28510235635368414,-0.7725875462091892,-1,-0.6480847575222659,0.6415634756796965,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
3,11,-1.0,0.12468923789290476,-0.2458148674874029,-1,-0.15075389075998447,-1,-0.43840565202845816,1,1,-1,0.011246947524606643,-0.6393039224276353,0.47142857142857153,-0.6644495284618723,-0.2391638150894233,-0.6486260916970245,0.9798796364908935,0.19000168714400356,-0.5185155044191636,-1.2318759857006998,-0.5488413242448257,-1,-0.671668156048642,-0.12674371061212053,-0.620258634259252,0.11183627171485133,-0.27409612120915106,0.7943100460704051,-1.0337368940243605,-0.1719696523869472,-0.7725875462091892,-1,-0.6480847575222659,0.05771879308948195,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
5,8,0.33333333333333326,-0.07584454474541161,0.364380628579205,-1,-0.2693019665685598,-1,0.2548215482499962,-1,1,1,-0.12293874259889981,0.26575527601532345,-0.8260000000000001,0.02792170828858147,-0.20462393272484747,0.8559496160952397,-0.4170710383331221,0.21494016205535127,0.1531357391353591,0.746748344609512,0.2772438344629692,1,0.7899328865352898,0.5101099965462907,0.9659434514671321,-0.8973330533874566,-0.07396392955349583,-1.2993246418681559,-1.0337368940243605,-0.5917239934819323,0.0074662289912037555,-1,0.36161773583537066,0.41398082333667097,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
6,9,-0.7777777777777778,0.44050848454891844,0.3661409844210684,1,0.07317418007275399,-1,0.16405257437284565,1,-1,-1,-0.6467860071557867,0.6687105919799088,-0.3425714285714285,-0.14072205061625412,0.7465023872152556,0.07699056688014501,-0.8572991674364866,-0.738550735900093,0.17138590836260365,-0.3700657552995695,0.06329885165204584,0,-0.1246773208545367,0.28773311145159575,0.11185605072199464,-0.7021500327579622,0.4441766421655377,1.3177187180550454,0.8384903396549467,-0.7045595286568626,0.0074662289912037555,-1,0.36161773583537066,0.6233538804563827,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,9,-1.0,-0.8068135055472838,-0.603394957761997,1,-0.5459837476528486,-1,-0.1050539618025518,1,-1,-1,-0.8911512482209062,-0.7655388135025759,-0.24142857142857144,-0.13472634768027558,-0.10161333293082964,-0.18255921807530437,0.7850806600691413,-0.7824611730673201,0.00577710209683026,-0.477149230751307,-0.12636514010873284,1,-0.28039972508703076,-0.30956537764518666,-0.18349495028509813,0.5187246105936612,-0.8074634032808717,0.27090137408576487,0.08959944618322384,-0.8065385242847499,0.0074662289912037555,1,0.36161773583537066,-0.01745079127456377,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
8,9,1.0,-0.9814447967690585,-0.6883883978152582,1,-0.5759815608999933,1,0.09064796882602255,1,-1,-1,0.12855038355893522,-0.3829110819214687,-0.8462857142857143,-0.02479346043011,-0.764703124338886,0.03753302328420045,-0.4612524776050648,-0.7222215717908784,0.10597131928521795,0.16323415210555278,0.051548122872818535,-1,-0.18082898672978662,-0.7163318963460585,0.04703967472716007,0.6992806261228628,-0.9826992439232217,0.7943100460704051,0.8384903396549467,-0.9914508152364355,-0.7725875462091892,1,-0.6480847575222659,0.2635318565240903,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9,7,-1.0,0.3203403457076446,-0.48671246575758703,-1,-0.017396917407770673,-1,-2.012299803687518,1,1,1,0.13032223717285185,0.9212685390378794,-0.8154285714285714,-1.8229804730293828,-0.7555957092031644,-1.3205799269101022,0.39963517132896476,0.4209496367205865,-2.1484122725710506,1.9455387774209125,-1.9113712978260617,0,-0.8914772949583759,-0.10645637064482971,-1.1816013194853692,-0.6843311855891087,0.32359249792855566,1.3177187180550454,1.5873812331266695,1.7418866622671314,0.0074662289912037555,-1,-0.6480847575222659,-2.0293963468056004,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11,1,0.7777777777777777,-0.9141746607975066,-0.879868148514852,0,-0.15536833914025178,1,-1.8455684670467882,1,1,1,-0.6332678557601368,0.22452212240359026,0.8102857142857143,2.007979698986599,-0.29314008110231327,1.762186999433519,0.4483917860417739,0.8752744455439438,-1.7204666246607558,0.2243382821655835,-1.811482386434543,0,-0.9941657176074985,-0.1146546332018561,-1.778359497585998,0.0820297641964367,-0.9151962279027549,1.3177187180550454,0.46404489291908524,1.8621189132907567,0.7875200041915967,-1,-0.6480847575222659,-1.8491965854395083,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
