,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341
Blues,12,13,33,38,69,87,99,107,123,127,144,162,167.0,227.0,239.0,272.0,281.0,287.0,327.0,328.0,342.0,472.0,489.0,520.0,578.0,588.0,608.0,611.0,655.0,656.0,671.0,675.0,676.0,705.0,731.0,739.0,750.0,775.0,805.0,807.0,843.0,848.0,879.0,897.0,911.0,923.0,938.0,950.0,981.0,986.0,991.0,1039.0,1045.0,1099.0,1101.0,1154.0,1183.0,1185.0,1195.0,1200.0,1226.0,1233.0,1248.0,1269.0,1271.0,1301.0,1304.0,1309.0,1330.0,1332.0,1337.0,1355.0,1357.0,1422.0,1445.0,1451.0,1458.0,1461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,4,11,17,18,24,26,31,34,36,47,55,59,62.0,74.0,81.0,94.0,102.0,103.0,112.0,125.0,129.0,138.0,139.0,145.0,146.0,148.0,154.0,157.0,160.0,163.0,172.0,175.0,176.0,178.0,182.0,190.0,202.0,208.0,230.0,231.0,232.0,240.0,250.0,253.0,255.0,263.0,277.0,282.0,295.0,301.0,305.0,307.0,318.0,319.0,323.0,333.0,338.0,344.0,354.0,361.0,362.0,363.0,364.0,373.0,377.0,379.0,392.0,394.0,395.0,398.0,406.0,410.0,420.0,427.0,428.0,433.0,434.0,436.0,442.0,455.0,458.0,459.0,469.0,473.0,478.0,481.0,487.0,488.0,492.0,501.0,510.0,512.0,513.0,518.0,519.0,522.0,533.0,537.0,541.0,544.0,549.0,556.0,563.0,567.0,568.0,579.0,590.0,601.0,603.0,612.0,617.0,622.0,626.0,635.0,638.0,652.0,670.0,678.0,679.0,684.0,687.0,692.0,696.0,702.0,710.0,712.0,715.0,724.0,733.0,736.0,741.0,759.0,765.0,767.0,774.0,779.0,781.0,787.0,791.0,792.0,795.0,797.0,808.0,812.0,814.0,818.0,821.0,828.0,830.0,835.0,837.0,847.0,850.0,853.0,856.0,857.0,858.0,868.0,870.0,877.0,880.0,888.0,890.0,894.0,899.0,905.0,908.0,913.0,915.0,919.0,921.0,925.0,928.0,935.0,936.0,947.0,949.0,951.0,955.0,956.0,958.0,959.0,962.0,965.0,968.0,976.0,978.0,979.0,990.0,994.0,1002.0,1009.0,1011.0,1023.0,1024.0,1033.0,1036.0,1044.0,1052.0,1057.0,1061.0,1064.0,1065.0,1067.0,1072.0,1073.0,1074.0,1076.0,1078.0,1079.0,1080.0,1084.0,1085.0,1089.0,1095.0,1107.0,1113.0,1116.0,1118.0,1123.0,1128.0,1130.0,1140.0,1146.0,1155.0,1167.0,1168.0,1172.0,1178.0,1184.0,1188.0,1189.0,1192.0,1205.0,1217.0,1222.0,1225.0,1228.0,1230.0,1236.0,1252.0,1267.0,1275.0,1276.0,1278.0,1284.0,1286.0,1303.0,1310.0,1315.0,1317.0,1321.0,1322.0,1326.0,1331.0,1349.0,1350.0,1352.0,1361.0,1366.0,1372.0,1387.0,1395.0,1396.0,1402.0,1403.0,1411.0,1426.0,1428.0,1431.0,1432.0,1434.0,1435.0,1439.0,1459.0,1468.0,1477.0,1486.0,1492.0,1499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greens,2,46,48,49,91,96,113,142,188,192,193,201,217.0,219.0,280.0,291.0,311.0,315.0,388.0,396.0,409.0,429.0,437.0,451.0,452.0,461.0,476.0,503.0,525.0,529.0,557.0,571.0,574.0,592.0,599.0,646.0,667.0,683.0,728.0,771.0,778.0,790.0,800.0,842.0,860.0,867.0,886.0,940.0,993.0,1027.0,1030.0,1068.0,1069.0,1091.0,1104.0,1115.0,1127.0,1152.0,1169.0,1194.0,1251.0,1259.0,1335.0,1359.0,1377.0,1379.0,1388.0,1463.0,1488.0,1491.0,1498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greys,15,29,37,66,71,122,124,166,181,237,251,266,279.0,337.0,355.0,370.0,402.0,418.0,431.0,443.0,509.0,515.0,539.0,543.0,547.0,585.0,609.0,614.0,636.0,699.0,704.0,755.0,785.0,855.0,930.0,964.0,987.0,1000.0,1120.0,1179.0,1193.0,1204.0,1209.0,1210.0,1240.0,1247.0,1262.0,1273.0,1292.0,1313.0,1376.0,1408.0,1430.0,1450.0,1469.0,1487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khakis,5,51,57,64,76,88,111,115,116,119,134,135,152.0,164.0,174.0,180.0,183.0,185.0,210.0,211.0,215.0,222.0,226.0,235.0,244.0,249.0,254.0,262.0,269.0,276.0,278.0,285.0,286.0,322.0,341.0,343.0,346.0,349.0,351.0,365.0,371.0,372.0,378.0,390.0,408.0,412.0,423.0,445.0,507.0,517.0,521.0,527.0,535.0,558.0,575.0,576.0,577.0,582.0,591.0,596.0,620.0,629.0,651.0,654.0,659.0,661.0,682.0,689.0,690.0,717.0,722.0,727.0,737.0,740.0,746.0,764.0,793.0,794.0,796.0,819.0,827.0,852.0,862.0,891.0,901.0,912.0,917.0,948.0,967.0,983.0,984.0,996.0,1001.0,1006.0,1015.0,1020.0,1029.0,1038.0,1041.0,1047.0,1058.0,1097.0,1110.0,1111.0,1125.0,1138.0,1171.0,1181.0,1190.0,1231.0,1257.0,1264.0,1266.0,1268.0,1279.0,1281.0,1289.0,1295.0,1298.0,1324.0,1340.0,1341.0,1344.0,1354.0,1365.0,1389.0,1400.0,1401.0,1406.0,1410.0,1413.0,1466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oranges,30,35,72,73,85,100,105,131,200,350,352,405,430.0,460.0,463.0,465.0,474.0,532.0,536.0,542.0,616.0,618.0,634.0,665.0,729.0,777.0,786.0,815.0,836.0,844.0,932.0,944.0,961.0,992.0,1017.0,1018.0,1048.0,1083.0,1114.0,1133.0,1148.0,1150.0,1170.0,1265.0,1308.0,1327.0,1371.0,1441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinks,93,375,399,450,500,523,594,604,606,674,697,770,849.0,960.0,974.0,1013.0,1040.0,1056.0,1098.0,1144.0,1151.0,1165.0,1201.0,1206.0,1256.0,1260.0,1270.0,1328.0,1417.0,1446.0,1475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purples,207,218,220,243,296,297,300,316,339,367,422,548,632.0,720.0,769.0,873.0,916.0,1025.0,1103.0,1134.0,1137.0,1160.0,1164.0,1198.0,1211.0,1274.0,1319.0,1323.0,1386.0,1393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reds,9,53,56,63,79,83,89,101,118,126,133,140,150.0,161.0,168.0,170.0,173.0,179.0,184.0,213.0,236.0,261.0,268.0,283.0,306.0,321.0,334.0,335.0,336.0,340.0,369.0,466.0,505.0,546.0,562.0,642.0,681.0,685.0,695.0,700.0,723.0,726.0,734.0,743.0,749.0,760.0,875.0,882.0,934.0,957.0,982.0,989.0,998.0,1075.0,1088.0,1135.0,1157.0,1214.0,1220.0,1227.0,1229.0,1237.0,1255.0,1261.0,1318.0,1347.0,1356.0,1364.0,1369.0,1380.0,1409.0,1429.0,1437.0,1454.0,1462.0,1490.0,1493.0,1495.0,1496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turquoises,1,6,7,8,14,16,19,20,22,23,25,32,40.0,41.0,44.0,45.0,50.0,52.0,65.0,68.0,75.0,78.0,80.0,84.0,86.0,92.0,95.0,108.0,120.0,121.0,143.0,149.0,153.0,155.0,158.0,165.0,169.0,171.0,177.0,186.0,187.0,191.0,194.0,196.0,199.0,203.0,204.0,205.0,206.0,209.0,214.0,216.0,223.0,225.0,228.0,229.0,233.0,247.0,248.0,260.0,264.0,265.0,267.0,271.0,274.0,289.0,290.0,293.0,298.0,303.0,310.0,320.0,325.0,330.0,347.0,348.0,353.0,357.0,359.0,360.0,374.0,376.0,380.0,383.0,384.0,385.0,386.0,387.0,389.0,393.0,403.0,404.0,411.0,417.0,419.0,421.0,425.0,426.0,435.0,447.0,448.0,449.0,453.0,454.0,457.0,462.0,467.0,470.0,471.0,475.0,479.0,483.0,486.0,494.0,502.0,506.0,508.0,516.0,531.0,534.0,538.0,540.0,545.0,555.0,559.0,560.0,561.0,564.0,569.0,572.0,581.0,586.0,589.0,593.0,595.0,598.0,602.0,605.0,607.0,613.0,615.0,619.0,621.0,625.0,628.0,639.0,641.0,643.0,645.0,647.0,648.0,649.0,650.0,653.0,657.0,658.0,662.0,668.0,669.0,672.0,673.0,691.0,694.0,701.0,706.0,709.0,713.0,714.0,718.0,719.0,721.0,730.0,735.0,738.0,742.0,747.0,748.0,751.0,752.0,753.0,754.0,763.0,768.0,772.0,773.0,776.0,780.0,782.0,783.0,798.0,801.0,802.0,810.0,811.0,813.0,816.0,817.0,829.0,831.0,841.0,846.0,864.0,869.0,874.0,884.0,885.0,889.0,893.0,895.0,903.0,909.0,918.0,922.0,924.0,926.0,943.0,945.0,946.0,953.0,963.0,966.0,970.0,971.0,972.0,973.0,975.0,977.0,988.0,997.0,1003.0,1004.0,1007.0,1010.0,1012.0,1016.0,1022.0,1026.0,1028.0,1031.0,1034.0,1037.0,1046.0,1049.0,1051.0,1053.0,1060.0,1062.0,1063.0,1066.0,1071.0,1077.0,1081.0,1086.0,1092.0,1093.0,1094.0,1102.0,1108.0,1109.0,1117.0,1119.0,1121.0,1122.0,1131.0,1159.0,1166.0,1182.0,1191.0,1202.0,1207.0,1212.0,1216.0,1218.0,1219.0,1232.0,1234.0,1235.0,1238.0,1242.0,1253.0,1258.0,1280.0,1282.0,1285.0,1288.0,1296.0,1297.0,1299.0,1300.0,1302.0,1307.0,1312.0,1314.0,1316.0,1320.0,1336.0,1338.0,1342.0,1343.0,1345.0,1346.0,1353.0,1358.0,1362.0,1370.0,1374.0,1378.0,1384.0,1385.0,1390.0,1392.0,1397.0,1398.0,1399.0,1404.0,1405.0,1407.0,1412.0,1414.0,1418.0,1419.0,1420.0,1423.0,1424.0,1425.0,1427.0,1436.0,1442.0,1453.0,1455.0,1456.0,1464.0,1465.0,1467.0,1470.0,1476.0,1478.0,1479.0,1483.0,1484.0,1485.0,1494.0
