,Vote,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social
0,10,-0.5582857142857143,0.453988164705631,1.6003600494616872,1.66500257022825,-0.9628156273916745,-0.4914333090169058,-2.2690765234017025,-1.715911951576231,0,0,1,0,0,0,0,0
1,1,-0.6942857142857143,-0.666838482228093,2.0774970189314397,0.800642240656192,-0.834572710946148,-2.0394367326285114,-1.90982367933351,-1.8500437511687327,0,0,1,0,0,0,0,0
2,2,0.5142857142857142,-0.2932295999168517,-0.2803630134972656,-1.2953101596333556,0.13033994401637172,0.574371925374883,0.14108580732066303,-0.6958619589594169,0,0,0,0,1,0,0,0
5,8,-0.8260000000000001,-1.0404473645393344,-0.585755843321899,0.7353903197088633,-0.07863552632752523,0.346707689034756,-0.037750275465590184,0.8729710315846726,0,0,0,0,0,0,1,0
6,9,-0.3425714285714285,0.8275970470168724,-0.6981391823275411,-0.3851217367448017,0.43556274470536305,0.5561558023624402,-0.20382773723727324,0.035427520278053785,1,0,0,0,0,0,0,0
8,9,-0.8462857142857143,0.8275970470168724,-0.9838807323405946,0.14994401502329474,-0.9804566786939197,0.19620478916556502,-0.08966326337880773,-0.028133346084712137,0,1,0,0,0,0,0,0
9,7,-0.8154285714285714,1.574814811639355,1.738502707192731,1.938150146286836,0.3158960714801308,-2.0975453847579657,-1.8604867838140469,-1.2329752528149178,1,0,0,0,0,0,0,0
10,3,0.5057142857142858,-2.1612740114730586,-1.0275140120081636,-0.6792106269678789,0.9221652164137932,-0.21460852429665112,0.22452065212508757,-0.08021054077897002,0,0,0,0,0,1,0,0
11,1,0.8102857142857143,0.453988164705631,1.8582531191994769,0.21125047098311034,-0.9134672630377159,-1.9172810252484844,2.486926949292514,-1.8181740737450565,1,0,0,0,0,0,0,0
12,9,-0.37228571428571433,0.8275970470168724,-0.6726301664981561,-0.35355801684469845,0.127043495979971,0.11535535570764428,-0.3577202570435661,-0.28960870960747304,0,0,1,0,0,0,0,0
14,0,0.8494285714285714,1.2012059293281137,1.0116515749653572,-0.4373232735026647,1.8654292034252187,-0.7997644582618065,1.8461624106749184,-1.4487029012268697,0,0,0,0,1,0,0,0
15,9,0.1657142857142857,0.08037928239438966,-0.9021978203276587,-0.9250434454206061,-0.32253824314445306,0.11213537009647687,-0.3196221904965299,0.06450763868386836,0,0,1,0,0,0,0,0
17,10,-0.276,1.574814811639355,-0.2724007893605808,1.365147231177269,-0.1595743781059003,-0.2064567833227053,-0.3279992747723013,-0.7611661923925338,0,1,0,0,0,0,0,0
18,9,-0.49428571428571433,1.574814811639355,-0.4081069918183967,-0.223964666870236,-0.6117263290073398,-0.11432177913097513,-0.3338295018658649,-0.6245892961691609,1,0,0,0,0,0,0,0
19,4,0.5465714285714285,-0.666838482228093,-0.9506385916010379,-1.3296053552940448,-0.9348855703477696,-0.23691490541486276,-0.18209371633206636,0.011656387786504399,1,0,0,0,0,0,0,0
20,8,0.29428571428571426,0.08037928239438966,-0.8635027949895462,-0.4546226199863752,-1.0891296829223485,0.47717804343032827,-0.006198629211671422,0.152537115628117,0,0,0,0,0,0,1,0
22,8,0.46685714285714286,-0.2932295999168517,-0.7522182834134246,-0.6379349932523594,1.1431649353544615,0.09115008966384935,0.22522619170111274,-0.39374321828597114,0,0,0,1,0,0,0,0
23,1,0.8657142857142857,1.574814811639355,1.4606415189667685,0.15237199347714855,-0.5954272004317839,-1.7185132367430704,-1.5259664274248324,-1.4569706336087307,0,1,0,0,0,0,0,0
24,8,0.15942857142857148,0.08037928239438966,-0.659931589013782,-0.3113718912089835,-0.23978490768352126,0.6030056586788091,-0.21778532716127452,0.06457365880162506,0,0,0,0,0,0,1,0
25,8,0.1665714285714286,-0.666838482228093,-1.106676612471723,-0.31895932387727766,0.5207912017390105,0.2542191652732131,0.18545987084364515,0.26859733929191376,0,0,0,0,0,0,1,0
26,8,0.8320000000000001,-0.2932295999168517,-0.9310735277360609,-1.025804551255551,-0.8194841567786181,0.09877298938487188,0.27484209142514493,0.30830764836792873,0,0,0,1,0,0,0,0
28,6,0.18285714285714283,-2.1612740114730586,-0.2408962410214502,-0.9432532838245119,0.4790172659408097,0.056362172665124756,0.8540831119676477,1.146289887637936,0,0,0,0,0,0,0,1
32,9,-0.5697142857142857,0.453988164705631,-0.7930200931743747,-0.14384137789305104,0.5294619533091709,-0.29223309104636597,-0.3107787138760805,-0.0826472511505111,0,1,0,0,0,0,0,0
33,2,-0.37742857142857145,0.8275970470168724,-0.3497163282879808,-0.3480950653235265,-0.17474895603645474,0.5918928436637361,0.13499647767165684,-0.6032671055690395,0,0,0,0,0,0,0,1
35,4,-0.32485714285714284,-2.1612740114730586,-0.27508193712760376,-0.4039385697621711,-0.5285867436546521,-0.5440639851496625,-0.41679474069002365,-0.5920717099009801,0,0,1,0,0,0,0,0
36,11,0.4731428571428571,-0.2932295999168517,-1.2614716722037194,-1.2516065474639817,-0.7184709602147447,0.09560262180611716,0.12142482940179107,0.21263195687029082,0,1,0,0,0,0,0,0
38,9,-0.5765714285714285,-1.0404473645393344,-0.762476049450979,-0.13655744253148874,0.37992530896302407,-0.01764322389091523,-0.31519586334409144,-0.3040456359631494,0,0,1,0,0,0,0,0
39,4,0.19999999999999996,-1.4140562468505757,-0.28984809565602904,-1.4968323713032454,-1.011067879206173,-0.5131606834205797,-0.4374528049307652,-0.5794766316142465,0,0,0,0,0,0,0,1
40,1,-0.3028571428571428,0.453988164705631,1.8971505352013063,1.393675978010055,0.40323187202084465,-2.1739419216195466,-1.2247462904314523,-1.8784425967629994,1,0,0,0,0,0,0,0
41,9,0.13742857142857146,0.453988164705631,-0.812998575206962,-0.8949972120541617,-0.9807891698902375,0.037951485217019416,-0.25353220752273087,-0.2005900233364605,1,0,0,0,0,0,0,0
42,1,-0.6297142857142857,0.08037928239438966,0.10301484476564844,1.7408768969111905,-0.4004648988356684,-0.26720361797128755,-0.03419979586985196,-1.2009201826462177,0,0,0,0,0,0,0,1
46,9,0.06800000000000006,1.2012059293281137,-1.1688957008015683,-0.8212473665183435,-0.7074162521296741,0.04063214128939775,0.03415725064288501,0.04774145617369816,1,0,0,0,0,0,0,0
47,3,0.9445714285714286,-0.666838482228093,-0.8854177374594046,-1.1453824901078653,-0.8416382429679702,0.011513926100192945,-0.21916655910909322,-0.13469567094384058,0,0,0,0,0,1,0,0
