,Vote,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Most_Important_Issue,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank
0,Violets,4546.0,12.0,683.7604397999999,11.454,37.81526709,Financial,392.80310110000005,1.306757016,44.65154737
1,Browns,4070.0,9.0,793.0178228999999,,53.90694706,Financial,41.02861602,74.59638745,12.91242818
2,Greens,8300.0,10.0,253.10238280000002,1.7,174.98237230000004,Healthcare,635.0009424,492.9936272,286.0222618
3,Whites,8150.0,8.0,278.9042973,1.85,,Social,502.2781817,317.4117658,289.18265319999995
4,Browns,5461.0,11.0,605.5640381000001,10.539000000000001,70.29312028,Social,40.46903718,435.8540721,110.8671199
5,Reds,3609.0,8.0,183.17189419999997,8.391,148.7605233,Other,583.2656114,456.5100456999999,657.2494982000001
6,Turquoises,5301.0,13.0,157.4377543,4.699,213.28115530000002,Education,630.8614378,422.62929569999994,459.06462769999996
7,Turquoises,5655.0,11.0,134.1796403,4.345,57.42266597,Healthcare,485.1902214,423.8338402,390.53054110000005
8,Turquoises,3538.0,13.0,92.00712118,6.462000000000001,35.60170115,Environment,549.0647309,445.9194999,444.0244514
9,Purples,3646.0,15.0,715.3930867,12.354000000000001,198.26560619999998,Education,27.82377366,84.6613957,158.9270994
10,Greys,8270.0,5.0,82.01573871,3.73,274.3391183,Military,455.7098716,510.01481169999994,431.70161449999995
11,Browns,9336.0,12.0,742.8141785,6.664,44.00740704,Education,68.7877672,,20.45363387
12,Turquoises,5197.0,,163.27894560000001,4.803,174.56874019999998,Financial,530.6921825000001,391.2343434,382.1524885
13,Greens,9539.0,11.0,236.2977417,0.461,143.0084074,Financial,629.5960491000001,471.8250461,304.4299134
14,Blues,9473.0,14.0,548.9548149,4.527,392.69810939999996,Healthcare,322.73669839999997,840.8389851,107.8802517
15,Turquoises,7080.0,11.0,110.7113126,2.92,118.15606909999998,Financial,529.9604601,399.0065664,465.9457502
16,Whites,3903.0,10.0,306.009959,6.097,248.13515980000003,Education,500.50183539999995,288.8179021,278.54127989999995
17,Violets,5534.0,15.0,254.9256156,10.466,138.6044684,Environment,457.56230580000005,397.2975934,270.56955889999995
18,Turquoises,4770.0,15.0,223.8508813,5.23,81.86929196,Education,478.4994324,396.1081938,302.88725239999997
19,Khakis,8413.0,9.0,99.61908491,1.587,41.31987812,Education,450.64088039999996,427.06316,453.4397512
20,Reds,7530.0,11.0,119.5719071,4.47,21.96561696,Other,612.9142162,462.94676160000006,486.7758447
21,Oranges,8889.0,9.0,273.1129628,3.111,73.09688599,Other,351.9650378,280.92489689999996,568.4283537
22,Reds,8134.0,10.0,145.0544316,3.866,302.0697474,Foreign_Affairs,525.1916811000001,510.1587458000001,357.511519
23,Browns,9530.0,15.0,651.7669411,6.47,83.91447596,Environment,113.95655390000002,152.90545749999998,105.92388829999999
24,Reds,7058.0,11.0,166.186734,4.942,128.539802,Other,641.5077864,419.7818677,465.96137230000005
25,Reds,7083.0,9.0,63.88866175,4.917,223.97546180000003,Other,562.2481496,502.04618939999995,514.2387527
26,Reds,9412.0,10.0,104.0991982,2.588,55.80023046,Foreign_Affairs,,520.2806724999999,523.6352585
27,Violets,3211.0,15.0,604.3246664,12.789000000000001,11.13804829,Environment,,101.84990520000001,62.59028569
28,Pinks,7140.0,,262.13969610000004,2.86,218.7337469,Social,517.2863358,638.4491464,721.9239436
29,Greens,8434.0,12.0,253.3869014,1.5659999999999998,203.2329545,Financial,,492.1560961,304.08798360000003
30,Turquoises,6380.0,14.0,148.8896029,3.62,24.021218,Education,457.87927010000004,389.3513162,409.7180708
31,Yellows,9840.0,10.0,167.83439740000003,4.16,29.04596575,Social,346.0683109,525.8410293000001,561.6900419
32,Turquoises,4506.0,12.0,135.71141430000003,5.494,225.0634514,Environment,438.07015480000007,400.8106861,431.1250246
33,Greens,5179.0,13.0,237.2214887,4.821000000000001,136.7003909,Social,638.9824659,491.7513692,307.93264469999997
34,Browns,5322.0,14.0,601.5087751,10.677999999999999,125.9355182,Healthcare,192.9245583,251.66311519999996,46.29715527
35,Khakis,5363.0,5.0,254.31167200000002,4.637,92.30149077,Financial,380.8430959,379.18281160000004,310.5817704
36,Whites,8156.0,10.0,28.442858500000003,1.844,68.47517639,Environment,526.2034923,488.98267549999997,500.9958681
37,Browns,5421.0,12.0,864.9720969,10.579,70.73560048,Social,0.400018334,0.878999359,0.545484105
38,Turquoises,4482.0,8.0,142.70555330000002,5.518,206.29987450000002,Financial,500.46905369999996,,378.7363312
39,Khakis,,7.0,250.9304378,1.036,31.76066528,Social,387.8656857,374.9684486,313.56209789999997
40,Browns,5440.0,12.0,751.7211175,10.56,209.2243382,Education,10.46311928,214.3560845,6.192512784
41,Turquoises,6981.0,12.0,131.1366343,3.0189999999999997,35.55998078,Education,513.1026176,412.48930010000004,403.216656
42,Browns,4296.0,11.0,340.89030160000004,11.704,108.37797890000002,Social,443.7579523,457.23436380000004,166.5121739
43,Purples,6851.0,11.0,773.0420192,9.149,99.82440004,Environment,50.18864123,34.7236969,77.17418869
44,Khakis,5890.0,6.0,185.07154599999998,4.11,174.87569319999997,Financial,433.0046489,412.854506,351.1082173
45,Turquoises,3796.0,10.0,111.9496404,6.204,278.9914767,Healthcare,585.4380431,447.58378389999996,450.1441773
46,Turquoises,6738.0,14.0,49.6414011,3.262,69.86230037,Education,513.7117806,471.1795914,461.9784295
47,Greys,9806.0,9.0,114.553706,2.194,53.02037739,Military,507.09484100000003,419.5000885,418.8089966
48,Whites,7227.0,8.0,298.5215046,2.773,47.11524467,Social,533.7351838999999,284.4995113,296.1947855
49,Turquoises,9449.0,12.0,131.9281436,0.551,183.3880027,Healthcare,516.2041329,399.25588839999995,416.3753317
50,Browns,5282.0,15.0,831.1525739,10.718,90.93430304,Environment,2.042187964,38.59891102,20.45682814
51,Turquoises,9577.0,11.0,179.602803,0.423,110.23116090000002,Healthcare,513.0334773,372.4629706,374.2160525
52,Browns,6627.0,12.0,659.3453325,,298.63732949999996,Education,30.37909979,422.63113439999995,43.7034559
53,Pinks,6046.0,8.0,279.3172927,3.9539999999999997,14.54289691,Social,504.83679639999997,661.4956921,727.8462131
54,Reds,5966.0,8.0,146.60431440000002,6.034,145.8570331,Foreign_Affairs,563.8602202000001,501.8354775,631.9519924
55,Blues,9084.0,10.0,713.5213636,4.916,505.31314360000005,Financial,974.6744769999999,123.5250251,123.08691929999999
56,Purples,3626.0,10.0,517.2775146,12.374,167.511729,Financial,190.7008332,110.58645039999999,357.6372947
57,Reds,8537.0,8.0,179.9705066,3.463,141.5771351,Other,672.5353607000001,454.22269769999997,522.9209758999999
58,Greens,3433.0,10.0,238.5725835,6.567,197.3776934,Financial,643.3041792,497.1606861000001,309.28364480000005
59,Pinks,9362.0,7.0,222.3977079,0.638,54.04284276,Healthcare,374.8953546,,332.6274822
60,Turquoises,9259.0,14.0,106.2968668,0.741,30.58912515,Environment,419.764725,452.4191988,449.035386
61,Browns,9970.0,11.0,649.387596,6.03,83.89645757,Environment,33.74640577,192.34703430000002,168.8482395
62,Greys,4823.0,9.0,136.69675519999998,7.1770000000000005,114.8351163,Foreign_Affairs,455.8000756,536.5764247,375.92528569999996
63,Greens,9596.0,13.0,224.5350285,0.40399999999999997,27.62598371,Social,613.7648309,514.6158496,306.9717139
64,Reds,6108.0,7.0,114.79854909999999,5.892,208.1601138,Foreign_Affairs,562.4704699,486.6236678,404.62064689999994
65,Browns,8619.0,13.0,677.5953161,7.381,55.36293997,Education,94.43554475,258.7556945,13.73456827
66,Turquoises,7201.0,11.0,139.73284950000001,2.799,257.8437786,Healthcare,571.0641529,448.83911680000006,391.1068439
67,Violets,5443.0,10.0,633.3343772000001,10.557,114.12910120000001,Healthcare,206.7754299,108.08670479999999,98.08489224
68,Browns,7413.0,14.0,507.21731619999997,8.587,141.09713119999998,Healthcare,385.8090607,455.4272795,7.818013559
69,Pinks,3764.0,11.0,202.5249522,6.236000000000001,61.26305343,Education,568.628979,401.2044405,337.0710065
70,Browns,5451.0,14.0,859.7739853,10.549000000000001,30.78534331,Environment,2.256114689,6.199475028999999,2.38230342
71,Oranges,4820.0,7.0,267.4395119,7.18,,Other,433.71706460000007,437.26546210000004,248.6141557
72,Browns,8336.0,12.0,706.4651496,7.664,133.68891729999999,Education,59.15716777,152.94503269999998,70.69421788
73,Turquoises,6154.0,12.0,135.18231459999998,3.846,146.6117379,Education,528.2678931,368.8891412,483.1142932
74,Purples,,11.0,806.2204147000001,6.4910000000000005,141.5698783,Social,34.23181394,2.270325207,69.51594143
75,Violets,6068.0,13.0,572.1712842999999,9.932,98.25748057,Education,340.9613866,232.33085490000002,19.9584115
76,Khakis,3087.0,6.0,265.1950624,6.912999999999999,247.3396238,Financial,383.91670600000003,364.5219865,303.78889469999996
77,Greens,4928.0,15.0,263.38731310000003,5.072,245.8152506,Education,643.696252,502.36346460000004,279.27692030000003
78,Greens,5865.0,10.0,248.8830826,4.135,123.10915120000001,Healthcare,658.5998006,485.5860824,308.73805649999997
79,Browns,3288.0,14.0,639.4763017999999,12.712,,Education,,238.48613999999998,20.909198899999996
80,Blues,5940.0,13.0,663.5010287,8.06,514.1567211,Environment,909.5784267000001,245.815716,44.07294746
81,Blues,5689.0,13.0,276.1769863,8.311,537.5570083,Social,306.550235,686.2686265,564.4586297999999
82,Turquoises,7388.0,13.0,78.58656278,2.612,181.6822017,Healthcare,492.6880443,440.12267239999994,449.63047760000006
83,Browns,8779.0,12.0,731.1637592000001,7.221,171.2203111,Education,76.68168100000001,116.8131628,43.30547254
84,Blues,3467.0,9.0,594.6392252999999,10.533,,Social,896.7866326999999,539.5354943,941.1271031
85,Turquoises,8279.0,10.0,190.6119467,1.7209999999999999,80.03835417,Healthcare,551.1761688999999,398.704827,346.8556175
86,Khakis,5442.0,6.0,66.44136085,4.558,168.44764119999996,Social,464.7310482,443.9709826,505.5950585
87,Khakis,3720.0,10.0,230.79653419999997,6.28,137.7217998,Education,403.04882810000004,379.4731881,328.7084413
88,Greens,7105.0,13.0,265.7175592,2.895,336.06469560000005,Education,649.8190923,499.62000020000005,280.5463228
89,Yellows,6643.0,9.0,158.21495009999998,7.357,294.0011746,Social,616.8544161,574.9075652,575.9333429
90,Blues,5807.0,11.0,491.03902850000003,8.193,424.0175593,Environment,608.7387952,52.52767028,670.4808377999999
91,Greens,6205.0,12.0,291.0703973,3.795,113.46365420000001,Education,664.5216995000001,515.5799653,260.3922971
92,Whites,4675.0,9.0,58.97498728,5.325,58.921221200000005,Environment,475.9836326,446.2173755,502.94830779999995
93,Oranges,9068.0,9.0,146.89309540000002,2.932,253.2577471,Other,378.576767,487.95104789999993,418.2148992
94,Browns,6591.0,10.0,763.5653482999999,9.408999999999999,18.12113908,Social,3.063983898,115.85493020000001,65.81201949
95,Greens,8133.0,10.0,285.5718257,1.867,55.07048532,Healthcare,700.2641808,516.9684697,297.12664900000004
96,Reds,3306.0,7.0,166.0047645,8.693999999999999,145.5825311,Other,650.2539253,436.3054048,469.59706730000005
97,Khakis,8131.0,5.0,229.796211,1.869,101.6560073,Financial,389.7211146,396.37800189999996,327.0625907
98,Greys,8072.0,9.0,119.43523219999999,3.928,150.1797865,Foreign_Affairs,451.39105240000004,393.9426748,525.5692916
99,Turquoises,6601.0,10.0,128.1375104,3.3989999999999996,111.0574795,Social,440.0012899,400.69135639999996,445.62013550000006
100,Browns,4385.0,9.0,703.1564622999999,11.615,136.33494309999998,Social,97.41109973,166.9336696,29.44925099
101,Blues,7837.0,16.0,517.2393103,6.162999999999999,406.0478834,Education,438.6462255,811.5859634999999,908.2724652
102,Reds,8657.0,9.0,197.6615501,3.343,145.5955484,Other,658.6148557,498.51345360000005,617.9372973
103,Turquoises,8124.0,13.0,127.17247759999998,1.876,104.94343390000002,Healthcare,615.4117909,536.1276199,460.65851219999996
104,Greys,8865.0,8.0,73.52180739,3.135,185.1010487,Military,473.156692,568.1695557,506.1485486
105,Turquoises,9070.0,15.0,215.4311401,0.93,230.9050706,Education,514.4896117,340.152493,356.3010028
106,Violets,8835.0,13.0,494.1490228,7.165,60.58097744,Education,407.06204360000004,301.54864239999995,57.09724357
107,Turquoises,9534.0,12.0,142.9543157,0.466,215.24465319999996,Environment,477.59976739999996,482.3990477,359.9129826
108,Browns,7188.0,14.0,626.2536011,8.812000000000001,135.9217449,Healthcare,84.03950773,206.3613001,135.38135580000002
109,Oranges,3940.0,7.0,239.8816048,8.06,215.76211719999998,Military,351.55116150000003,317.1094253,545.3559739
