,Vote,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Most_Important_Issue,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank
0,Violets,4546.0,12.0,683.7604397999999,11.454,37.81526709,Financial,392.80310110000005,1.306757016,44.65154737
1,Browns,4070.0,9.0,793.0178228999999,,53.90694706,Financial,41.02861602,74.59638745,12.91242818
2,Greens,8300.0,10.0,253.10238280000002,1.7,174.98237230000004,Healthcare,635.0009424,492.9936272,286.0222618
5,Reds,3609.0,8.0,183.17189419999997,8.391,148.7605233,Other,583.2656114,456.5100456999999,657.2494982000001
6,Turquoises,5301.0,13.0,157.4377543,4.699,213.28115530000002,Education,630.8614378,422.62929569999994,459.06462769999996
8,Turquoises,3538.0,13.0,92.00712118,6.462000000000001,35.60170115,Environment,549.0647309,445.9194999,444.0244514
9,Purples,3646.0,15.0,715.3930867,12.354000000000001,198.26560619999998,Education,27.82377366,84.6613957,158.9270994
10,Greys,8270.0,5.0,82.01573871,3.73,274.3391183,Military,455.7098716,510.01481169999994,431.70161449999995
11,Browns,9336.0,12.0,742.8141785,6.664,44.00740704,Education,68.7877672,,20.45363387
12,Turquoises,5197.0,,163.27894560000001,4.803,174.56874019999998,Financial,530.6921825000001,391.2343434,382.1524885
14,Blues,9473.0,14.0,548.9548149,4.527,392.69810939999996,Healthcare,322.73669839999997,840.8389851,107.8802517
15,Turquoises,7080.0,11.0,110.7113126,2.92,118.15606909999998,Financial,529.9604601,399.0065664,465.9457502
17,Violets,5534.0,15.0,254.9256156,10.466,138.6044684,Environment,457.56230580000005,397.2975934,270.56955889999995
18,Turquoises,4770.0,15.0,223.8508813,5.23,81.86929196,Education,478.4994324,396.1081938,302.88725239999997
19,Khakis,8413.0,9.0,99.61908491,1.587,41.31987812,Education,450.64088039999996,427.06316,453.4397512
20,Reds,7530.0,11.0,119.5719071,4.47,21.96561696,Other,612.9142162,462.94676160000006,486.7758447
22,Reds,8134.0,10.0,145.0544316,3.866,302.0697474,Foreign_Affairs,525.1916811000001,510.1587458000001,357.511519
23,Browns,9530.0,15.0,651.7669411,6.47,83.91447596,Environment,113.95655390000002,152.90545749999998,105.92388829999999
24,Reds,7058.0,11.0,166.186734,4.942,128.539802,Other,641.5077864,419.7818677,465.96137230000005
25,Reds,7083.0,9.0,63.88866175,4.917,223.97546180000003,Other,562.2481496,502.04618939999995,514.2387527
26,Reds,9412.0,10.0,104.0991982,2.588,55.80023046,Foreign_Affairs,,520.2806724999999,523.6352585
28,Pinks,7140.0,,262.13969610000004,2.86,218.7337469,Social,517.2863358,638.4491464,721.9239436
32,Turquoises,4506.0,12.0,135.71141430000003,5.494,225.0634514,Environment,438.07015480000007,400.8106861,431.1250246
33,Greens,5179.0,13.0,237.2214887,4.821000000000001,136.7003909,Social,638.9824659,491.7513692,307.93264469999997
35,Khakis,5363.0,5.0,254.31167200000002,4.637,92.30149077,Financial,380.8430959,379.18281160000004,310.5817704
36,Whites,8156.0,10.0,28.442858500000003,1.844,68.47517639,Environment,526.2034923,488.98267549999997,500.9958681
38,Turquoises,4482.0,8.0,142.70555330000002,5.518,206.29987450000002,Financial,500.46905369999996,,378.7363312
39,Khakis,,7.0,250.9304378,1.036,31.76066528,Social,387.8656857,374.9684486,313.56209789999997
40,Browns,5440.0,12.0,751.7211175,10.56,209.2243382,Education,10.46311928,214.3560845,6.192512784
41,Turquoises,6981.0,12.0,131.1366343,3.0189999999999997,35.55998078,Education,513.1026176,412.48930010000004,403.216656
42,Browns,4296.0,11.0,340.89030160000004,11.704,108.37797890000002,Social,443.7579523,457.23436380000004,166.5121739
46,Turquoises,6738.0,14.0,49.6414011,3.262,69.86230037,Education,513.7117806,471.1795914,461.9784295
47,Greys,9806.0,9.0,114.553706,2.194,53.02037739,Military,507.09484100000003,419.5000885,418.8089966
48,Whites,7227.0,8.0,298.5215046,2.773,47.11524467,Social,533.7351838999999,284.4995113,296.1947855
50,Browns,5282.0,15.0,831.1525739,10.718,90.93430304,Environment,2.042187964,38.59891102,20.45682814
53,Pinks,6046.0,8.0,279.3172927,3.9539999999999997,14.54289691,Social,504.83679639999997,661.4956921,727.8462131
54,Reds,5966.0,8.0,146.60431440000002,6.034,145.8570331,Foreign_Affairs,563.8602202000001,501.8354775,631.9519924
55,Blues,9084.0,10.0,713.5213636,4.916,505.31314360000005,Financial,974.6744769999999,123.5250251,123.08691929999999
56,Purples,3626.0,10.0,517.2775146,12.374,167.511729,Financial,190.7008332,110.58645039999999,357.6372947
57,Reds,8537.0,8.0,179.9705066,3.463,141.5771351,Other,672.5353607000001,454.22269769999997,522.9209758999999
59,Pinks,9362.0,7.0,222.3977079,0.638,54.04284276,Healthcare,374.8953546,,332.6274822
61,Browns,9970.0,11.0,649.387596,6.03,83.89645757,Environment,33.74640577,192.34703430000002,168.8482395
63,Greens,9596.0,13.0,224.5350285,0.40399999999999997,27.62598371,Social,613.7648309,514.6158496,306.9717139
65,Browns,8619.0,13.0,677.5953161,7.381,55.36293997,Education,94.43554475,258.7556945,13.73456827
66,Turquoises,7201.0,11.0,139.73284950000001,2.799,257.8437786,Healthcare,571.0641529,448.83911680000006,391.1068439
71,Oranges,4820.0,7.0,267.4395119,7.18,,Other,433.71706460000007,437.26546210000004,248.6141557
72,Browns,8336.0,12.0,706.4651496,7.664,133.68891729999999,Education,59.15716777,152.94503269999998,70.69421788
73,Turquoises,6154.0,12.0,135.18231459999998,3.846,146.6117379,Education,528.2678931,368.8891412,483.1142932
74,Purples,,11.0,806.2204147000001,6.4910000000000005,141.5698783,Social,34.23181394,2.270325207,69.51594143
76,Khakis,3087.0,6.0,265.1950624,6.912999999999999,247.3396238,Financial,383.91670600000003,364.5219865,303.78889469999996
77,Greens,4928.0,15.0,263.38731310000003,5.072,245.8152506,Education,643.696252,502.36346460000004,279.27692030000003
83,Browns,8779.0,12.0,731.1637592000001,7.221,171.2203111,Education,76.68168100000001,116.8131628,43.30547254
84,Blues,3467.0,9.0,594.6392252999999,10.533,,Social,896.7866326999999,539.5354943,941.1271031
86,Khakis,5442.0,6.0,66.44136085,4.558,168.44764119999996,Social,464.7310482,443.9709826,505.5950585
87,Khakis,3720.0,10.0,230.79653419999997,6.28,137.7217998,Education,403.04882810000004,379.4731881,328.7084413
88,Greens,7105.0,13.0,265.7175592,2.895,336.06469560000005,Education,649.8190923,499.62000020000005,280.5463228
89,Yellows,6643.0,9.0,158.21495009999998,7.357,294.0011746,Social,616.8544161,574.9075652,575.9333429
91,Greens,6205.0,12.0,291.0703973,3.795,113.46365420000001,Education,664.5216995000001,515.5799653,260.3922971
92,Whites,4675.0,9.0,58.97498728,5.325,58.921221200000005,Environment,475.9836326,446.2173755,502.94830779999995
93,Oranges,9068.0,9.0,146.89309540000002,2.932,253.2577471,Other,378.576767,487.95104789999993,418.2148992
96,Reds,3306.0,7.0,166.0047645,8.693999999999999,145.5825311,Other,650.2539253,436.3054048,469.59706730000005
97,Khakis,8131.0,5.0,229.796211,1.869,101.6560073,Financial,389.7211146,396.37800189999996,327.0625907
98,Greys,8072.0,9.0,119.43523219999999,3.928,150.1797865,Foreign_Affairs,451.39105240000004,393.9426748,525.5692916
103,Turquoises,8124.0,13.0,127.17247759999998,1.876,104.94343390000002,Healthcare,615.4117909,536.1276199,460.65851219999996
105,Turquoises,9070.0,15.0,215.4311401,0.93,230.9050706,Education,514.4896117,340.152493,356.3010028
108,Browns,7188.0,14.0,626.2536011,8.812000000000001,135.9217449,Healthcare,84.03950773,206.3613001,135.38135580000002
109,Oranges,3940.0,7.0,239.8816048,8.06,215.76211719999998,Military,351.55116150000003,317.1094253,545.3559739
110,Turquoises,9437.0,9.0,170.9200244,0.563,47.39133247,Social,509.8889847,374.1986012,384.7182982
113,Turquoises,4225.0,12.0,64.53768713,5.775,120.6177794,Environment,496.3084219,444.35859500000004,467.5112426
115,Browns,9385.0,10.0,567.3385975,6.615,80.33089725,Healthcare,219.2053429,265.4011956,66.42088871
116,Greens,3151.0,8.0,274.22781960000003,6.849,24.16052518,Financial,630.9239274,509.20403650000003,259.2197932
117,Browns,5536.0,12.0,663.3739663,10.464,148.0686852,Financial,20.31715981,,147.968603
119,Turquoises,6691.0,11.0,89.06947648,3.3089999999999997,250.17695519999998,Environment,486.89449249999996,411.9753753,496.3554476
121,Whites,3950.0,10.0,243.6138171,6.05,56.88318453,Environment,541.5668722999999,344.5201287,317.11780669999996
122,Pinks,4494.0,8.0,247.3557065,5.506,179.5750841,Environment,432.54033530000004,379.5937991,294.72850669999997
126,Turquoises,6001.0,12.0,175.56397969999998,3.9989999999999997,51.97672513,Social,,408.01120560000004,375.0150702
128,Turquoises,3417.0,12.0,72.59664224,6.582999999999999,213.3575838,Environment,479.1851158,458.5137266,444.17973330000007
129,Khakis,7678.0,7.0,250.6472167,2.322,234.60700919999996,Healthcare,415.2253471,375.5624305,299.6189212
130,Turquoises,3623.0,11.0,143.864031,6.377000000000001,55.45140645,Financial,542.8129322000001,385.1775275,424.63613560000005
131,Turquoises,4237.0,15.0,145.06901489999998,5.763,137.5591111,Environment,406.425674,475.55974299999997,391.87258239999994
133,Greens,8894.0,12.0,259.55174569999997,1.1059999999999999,82.51544284,Education,642.2950497,,282.9384412
134,Yellows,5651.0,11.0,295.1852029,8.349,446.7261353999999,Financial,399.0897895,331.287798,279.8009394
136,Greys,5181.0,7.0,85.12619602,6.819,94.79625194,Foreign_Affairs,443.69373039999994,508.2628494,563.3071762999999
137,Turquoises,5671.0,11.0,183.3371892,4.329,29.67728669,Healthcare,483.2103534,399.7753087,347.4036567
138,Turquoises,8390.0,15.0,137.8937483,1.61,178.0911178,Environment,457.4470057,405.3884625,409.156258
140,Greys,3618.0,6.0,76.16112478,8.382,39.69841323,Military,522.4186565,427.6964107,491.62672419999996
141,Khakis,7828.0,7.0,211.9395639,2.1719999999999997,123.276169,Healthcare,418.4358915,400.66336939999997,331.4832092
142,Turquoises,5013.0,9.0,116.4694021,4.987,206.9805648,Social,558.6051963,401.43117689999997,479.63484139999997
143,Browns,5075.0,13.0,417.39153030000006,10.925,209.5447693,Healthcare,202.5056178,478.8408835,207.9981612
144,Reds,9311.0,10.0,149.4774112,2.6889999999999996,310.3618533,Foreign_Affairs,559.9877014,504.21885729999997,636.8472628999999
149,Turquoises,5835.0,10.0,132.0828677,4.165,29.7325679,Social,558.4999706,385.1258557,471.232512
150,Turquoises,4115.0,10.0,110.7210124,5.885,169.5991909,Financial,543.730661,444.6060274,414.6871658
151,Browns,5800.0,13.0,592.0786891,10.2,289.466867,Environment,67.85453656,487.48137199999996,95.46229284
152,Blues,5192.0,8.0,283.3982364,8.808,363.75514189999996,Financial,556.4809872000001,545.0588551,774.0331332000001
153,Turquoises,,13.0,104.62958929999999,3.333,329.3491808,Healthcare,452.8748123,478.2333228,409.1551906
156,Browns,3038.0,11.0,505.75221610000006,12.962,241.29401690000003,Healthcare,144.285956,295.72599039999994,204.15383740000001
158,Whites,9125.0,9.0,143.6031874,0.875,196.6202986,Healthcare,450.95222120000005,367.6717314,526.5597468999999
159,Browns,8654.0,14.0,526.0170131,7.346,169.79246469999998,Healthcare,3.9343841860000004,416.6010784,346.1903034
161,Turquoises,7848.0,10.0,112.4844618,2.1519999999999997,19.82806139,Financial,559.352966,414.731836,456.8801694
163,Khakis,4337.0,9.0,292.94527969999996,5.662999999999999,89.07890709,Environment,377.53184369999997,340.0568227,287.3108662
164,Pinks,4076.0,7.0,216.24825180000002,5.9239999999999995,59.36719836,Healthcare,549.4453781000001,365.70163419999994,337.88149419999996
165,Pinks,7993.0,6.0,302.09959069999996,2.0069999999999997,133.60437199999998,Social,516.0950302,695.7564295,729.5311156
166,Browns,6419.0,8.0,444.48704749999996,9.581,112.92421850000001,Financial,286.14271119999995,300.0859105,165.53303269999998
171,Reds,4477.0,10.0,157.37480580000002,7.523,35.01404236,Foreign_Affairs,652.4456097999999,500.7061842,539.0725846
172,Pinks,9526.0,11.0,236.06881069999997,0.474,12.97884476,Education,469.2990257,638.1490841,688.9464583
173,Blues,3840.0,11.0,591.1336134,10.16,492.7578011,Healthcare,950.7424978,490.0480118,117.67669769999999
174,Oranges,6314.0,7.0,319.587783,5.686,44.56317065,Military,715.774324,415.45085839999996,279.93356719999997
175,Browns,3564.0,12.0,814.5878946,12.436,78.16682224,Environment,19.48425483,60.33620925,10.76201308
177,Khakis,9602.0,5.0,221.8756375,0.39799999999999996,61.88289594,Financial,408.0344986,384.3869532,334.4561433
